batter_name,batter_id,AVG_FF,AVG_FS,AVG_CU,AVG_FC,AVG_SI,AVG_SL,OBP_FF,OBP_FS,OBP_CU,OBP_FC,OBP_SI,OBP_SL,SLG_FF,SLG_FS,SLG_CU,SLG_FC,SLG_SI,SLG_SL
Blaze Alexander,677942,0.1746031746031746,0.25,0.25,0.47058823529411764,0.19444444444444445,0.1951219512195122,0.3157894736842105,0.25,0.3333333333333333,0.5263157894736842,0.35555555555555557,0.22727272727272727,0.47619047619047616,0.3333333333333333,0.3125,0.5882352941176471,0.25,0.2682926829268293
Alek Thomas,677950,0.23728813559322035,0.1724137931034483,0.17647058823529413,0.41935483870967744,0.29508196721311475,0.22058823529411764,0.3007518796992481,0.22580645161290322,0.17647058823529413,0.4411764705882353,0.328125,0.28378378378378377,0.4322033898305085,0.20689655172413793,0.21568627450980393,0.5806451612903226,0.3770491803278688,0.2647058823529412
Miguel Vargas,678246,0.2247191011235955,0.25,0.14705882352941177,0.2619047619047619,0.2692307692307692,0.2894736842105263,0.3333333333333333,0.4,0.16666666666666666,0.3673469387755102,0.3559322033898305,0.32098765432098764,0.4550561797752809,0.25,0.17647058823529413,0.38095238095238093,0.4230769230769231,0.4868421052631579
Ezequiel Tovar,678662,0.21621621621621623,0.14285714285714285,0.32,0.375,0.2711864406779661,0.26881720430107525,0.2926829268292683,0.3333333333333333,0.37037037037037035,0.4230769230769231,0.3064516129032258,0.28125,0.36936936936936937,0.2857142857142857,0.44,0.4166666666666667,0.4067796610169492,0.43010752688172044
Spencer Torkelson,679529,0.3067484662576687,0.13043478260869565,0.25,0.2,0.2627118644067797,0.23469387755102042,0.40414507772020725,0.2,0.3125,0.32075471698113206,0.38028169014084506,0.27884615384615385,0.6134969325153374,0.2608695652173913,0.5,0.28888888888888886,0.4491525423728814,0.42857142857142855
Matt McLain,680574,0.2302158273381295,0.05263157894736842,0.15217391304347827,0.43478260869565216,0.2523364485981308,0.19834710743801653,0.3609467455621302,0.05263157894736842,0.20408163265306123,0.4583333333333333,0.37209302325581395,0.23015873015873015,0.4460431654676259,0.10526315789473684,0.17391304347826086,0.6086956521739131,0.3644859813084112,0.30578512396694213
Adrian Del Castillo,680728,0.21428571428571427,0.25,0.2,0.4666666666666667,0.14285714285714285,0.13333333333333333,0.2542372881355932,0.4,0.18181818181818182,0.4666666666666667,0.4,0.125,0.30357142857142855,0.25,0.6,0.6666666666666666,0.14285714285714285,0.3333333333333333
Steven Kwan,680757,0.25098039215686274,0.16,0.34782608695652173,0.25,0.33070866141732286,0.21951219512195122,0.3275862068965517,0.16,0.4230769230769231,0.34,0.39436619718309857,0.2261904761904762,0.3568627450980392,0.2,0.6521739130434783,0.36363636363636365,0.4409448818897638,0.2682926829268293
Ryan Jeffers,680777,0.30714285714285716,0.16666666666666666,0.25,0.2692307692307692,0.25773195876288657,0.21875,0.389937106918239,0.23076923076923078,0.3333333333333333,0.3870967741935484,0.3302752293577982,0.3150684931506849,0.4357142857142857,0.16666666666666666,0.5,0.3076923076923077,0.4020618556701031,0.34375
Henry Davis,680779,0.1702127659574468,0.0,0.1875,0.15384615384615385,0.24444444444444444,0.14035087719298245,0.23529411764705882,0.0,0.2631578947368421,0.26666666666666666,0.35185185185185186,0.1935483870967742,0.30851063829787234,0.0,0.375,0.15384615384615385,0.3333333333333333,0.3333333333333333
Brendan Donovan,680977,0.36486486486486486,0.2777777777777778,0.21621621621621623,0.30952380952380953,0.16666666666666666,0.2608695652173913,0.45348837209302323,0.3157894736842105,0.3023255813953488,0.32558139534883723,0.24770642201834864,0.2876712328767123,0.5337837837837838,0.3333333333333333,0.3783783783783784,0.35714285714285715,0.2604166666666667,0.3188405797101449
Bryson Stott,681082,0.28205128205128205,0.2727272727272727,0.22580645161290322,0.2962962962962963,0.20253164556962025,0.2236842105263158,0.37333333333333335,0.30434782608695654,0.29411764705882354,0.36666666666666664,0.29347826086956524,0.2625,0.5076923076923077,0.2727272727272727,0.25806451612903225,0.5185185185185185,0.22784810126582278,0.42105263157894735
Colton Cowser,681297,0.24509803921568626,0.13333333333333333,0.06666666666666667,0.3181818181818182,0.24,0.14634146341463414,0.33043478260869563,0.16129032258064516,0.2631578947368421,0.34782608695652173,0.3333333333333333,0.20454545454545456,0.5882352941176471,0.26666666666666666,0.26666666666666666,0.6818181818181818,0.38,0.2682926829268293
Brooks Baldwin,681460,0.16279069767441862,0.10526315789473684,0.24,0.39285714285714285,0.36666666666666664,0.2727272727272727,0.24475524475524477,0.15,0.2692307692307692,0.41379310344827586,0.3870967741935484,0.2777777777777778,0.32558139534883723,0.15789473684210525,0.4,0.7142857142857143,0.5,0.48484848484848486
Kerry Carpenter,681481,0.26515151515151514,0.15789473684210525,0.1836734693877551,0.2641509433962264,0.4117647058823529,0.22641509433962265,0.3,0.2727272727272727,0.21568627450980393,0.3157894736842105,0.45454545454545453,0.23214285714285715,0.553030303030303,0.15789473684210525,0.32653061224489793,0.4528301886792453,0.6666666666666666,0.5094339622641509
Daniel Schneemann,682177,0.256,0.3125,0.16666666666666666,0.12,0.23404255319148937,0.2,0.34965034965034963,0.3333333333333333,0.1891891891891892,0.15384615384615385,0.41935483870967744,0.23255813953488372,0.44,0.53125,0.4166666666666667,0.24,0.3617021276595745,0.45
Noelvi Marte,682622,0.24358974358974358,0.2,0.23809523809523808,0.17647058823529413,0.3333333333333333,0.2638888888888889,0.2976190476190476,0.2,0.23809523809523808,0.2222222222222222,0.3835616438356164,0.28,0.47435897435897434,0.3,0.38095238095238093,0.35294117647058826,0.48484848484848486,0.4722222222222222
Warming Bernabel,682653,0.2857142857142857,0.0,0.16666666666666666,0.4,0.18518518518518517,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.4,0.2413793103448276,0.3333333333333333,0.42857142857142855,0.0,0.16666666666666666,0.7,0.2222222222222222,0.7777777777777778
